Date,HRV,	RHR
4/12/2025,58,49
4/13/2025,57,49
4/14/2025,66,48
4/15/2025,56,49
4/16/2025,53,51
4/17/2025,60,48
4/18/2025,51,51
4/19/2025,,
4/20/2025,,
4/21/2025,58,50
4/22/2025,55,50
4/23/2025,59,49
4/24/2025,67,49
4/25/2025,66,51
4/26/2025,51,52
4/27/2025,61,49
4/28/2025,48,51
4/29/2025,47,51
4/30/2025,44,52
5/1/2025,49,50
5/2/2025,45,52
5/3/2025,49,50
5/4/2025,56,50
5/5/2025,63,50
5/6/2025,64,49
5/7/2025,49,52
5/8/2025,44,50
5/9/2025,46,51
5/10/2025,,
5/11/2025,48,52
5/12/2025,59,49
5/13/2025,57,51
5/14/2025,51,53
5/15/2025,,
5/16/2025,54,51
5/17/2025,,
5/18/2025,61,49
5/19/2025,60,50
5/20/2025,55,51
5/21/2025,62,50
5/22/2025,,
5/23/2025,59,50
5/24/2025,50,51
5/25/2025,51,48
5/26/2025,43,
5/27/2025,45,53
5/28/2025,52,52
5/29/2025,49,52
5/30/2025,49,50
5/31/2025,46,52
6/1/2025,,
6/2/2025,29,55
6/3/2025,,
6/4/2025,42,52
6/5/2025,49,52
6/6/2025,45,56
6/7/2025,,
6/8/2025,40,54
6/9/2025,58,40
6/10/2025,57,52
6/11/2025,,
6/12/2025,54,52
6/13/2025,57,50
6/14/2025,,
6/15/2025,,
6/16/2025,62,49
6/17/2025,48,50
6/18/2025,58,51
6/19/2025,50,50
6/20/2025,55,51
6/21/2025,51,51
6/22/2025,51,51
6/23/2025,45,52
6/24/2025,,
6/25/2025,47,53
6/26/2025,49,52
6/27/2025,49,52
6/28/2025,45,54
6/29/2025,40,53
6/30/2025,45,54
7/1/2025,47,52
7/2/2025,63,51
7/3/2025,60,51
7/4/2025,54,53
7/5/2025,48,51
7/6/2025,57,50
7/7/2025,60,49
7/8/2025,61,50
7/9/2025,60,49
7/10/2025,56,53
7/11/2025,53,53
7/12/2025,55,50
7/13/2025,60,49
7/14/2025,60,50
7/15/2025,58,49
7/16/2025,54,51
7/17/2025,65,49
7/18/2025,53,53
7/19/2025,51,53
7/20/2025,67,48
7/21/2025,58,49
7/22/2025,67,48
7/23/2025,105,47
7/24/2025,69,48
7/25/2025,57,50
7/26/2025,59,48
7/27/2025,51,47
7/28/2025,62,48
7/29/2025,59,46
7/30/2025,70,49
7/31/2025,79,47
8/1/2025,55,46
8/2/2025,63,48
8/3/2025,56,49
8/4/2025,58,49
8/5/2025,67,47
8/6/2025,60,50
8/7/2025,,
8/8/2025,48,51
8/9/2025,57,51
8/10/2025,40,52
8/11/2025,68,49
8/12/2025,59,49
8/13/2025,57,49
8/14/2025,47,49
8/15/2025,51,52
8/16/2025,42,53
8/17/2025,51,50
8/18/2025,60,50
8/19/2025,54,49
8/20/2025,46,51
8/21/2025,42,53
8/22/2025,61,49
8/23/2025,55,51
8/24/2025,,
8/25/2025,48,50
8/26/2025,51,51
8/27/2025,51,49
8/28/2025,57,50
8/29/2025,58,50
8/30/2025,48,51
8/31/2025,64,49
9/1/2025,59,50
9/2/2025,49,51
9/3/2025,50,52
9/4/2025,57,50
9/5/2025,59,51
9/6/2025,61,49
9/7/2025,53,50
9/8/2025,48,52
9/9/2025,53,51
9/10/2025,46,50
9/11/2025,58,47
9/12/2025,47,50
9/13/2025,50,51
9/14/2025,47,51
9/15/2025,46,52
9/16/2025,58,49
9/17/2025,52,51
9/18/2025,51,52
9/19/2025,55,50
9/20/2025,49,54
9/21/2025,40,52
9/22/2025,70,47
